,feat1,feat2,feat3,feat4,class
0,0.08902069436032044,0.11745278283707412,-0.10780490583618564,0.06767953861038233,6
1,-0.3789607925263048,0.12582469050716674,9.964459752676321e-05,-0.024467165911415397,3
2,0.639772423071417,0.12896226947365372,0.00538982252513515,-0.065084545722607,2
3,-0.0028724365859664437,-0.46989856930572976,-0.04390948229327245,0.03545961459270735,6
4,-0.0024812437680023997,-0.3753500557017335,-0.08480454627646937,0.047595942395683065,6
5,-0.0002683123215539703,-0.0437196089218921,-0.11144973396128631,0.05565710655800725,6
6,-0.29354711763918323,0.09122736082909896,-0.025718802221868994,-0.05203791244834106,7
7,-0.40143392140819356,-0.33374552708124455,0.012871858433208302,-0.043961569905635746,1
8,0.1223024503934162,-0.24432036891276268,1.050194519018136,0.22574780020504606,3
9,0.0024632241969711277,-0.04395148247440847,-0.04875548672742815,0.16060053105178615,1
10,0.05812599874338614,0.31224871814212835,-0.05473724392577537,0.03258959554439534,4
11,-0.2676645741712457,0.4014108548105787,0.042427855150297455,-0.062450982032379754,5
12,-0.3784999604241107,0.18459805676472735,0.01408064349708328,-0.051227264381386,5
13,0.098248425989949,-0.30086461833922357,-0.10668820321456743,0.05775274244513186,6
14,-0.33907844698703576,0.18609565422342902,0.011029561375862572,-0.054381443226400754,7
15,-0.23327940800217734,0.43417392047961123,0.044999961898152696,-0.05410838941715816,5
16,0.2254969860352705,-0.5095507336296299,-0.0335734787201698,0.11537299672513428,1
17,0.048523558044188474,0.09116887120403167,-0.10370108706081213,0.06560209546210055,6
18,0.1068274164125452,0.32842201096665163,-0.04508432705590668,0.013547777739216286,4
19,0.19603580866035464,0.15614151648250335,-0.08264303416025245,0.022179170436330883,4
20,-0.3184661826590583,0.30214098828240116,0.023675712780018152,-0.04893153773235502,5
21,-0.25507446130532807,0.3245981584673142,0.007022108105248587,-0.038764203150342784,1
22,-0.2853994101343275,0.15756774144200061,-0.01982840432306659,0.025952403185947288,3
23,0.7794705551795463,-0.13439014524763032,0.0533040860875048,-0.09301082098637516,2
24,-0.42541657137894145,-0.09543215872435235,0.010408436662878651,-0.08065980702864661,7
25,-0.021054264803848977,0.589944731662642,0.07991011896002731,-0.04627371218308011,5
26,-0.45305925864520025,-0.4474930889843207,0.07114015107172451,-0.06876846486300985,3
27,0.0050219423439926214,-0.5896245334512104,-0.019421813191199816,0.009382165218104848,6
28,0.6915909985508588,-0.19388927253250937,0.005960391170407275,-0.05821726482517836,2
29,-0.06205058388716789,-0.41716653001639237,0.1695106877538029,0.2551977269632845,3
30,-0.30345045323595055,0.10033789617751376,-0.014052808316937022,-0.06766966069357307,7
31,-0.3847752613488177,-0.002883969326492484,-0.018472974167150578,-0.0030873287222719305,5
32,-0.4495839312848477,-0.21556539236645242,0.02654415984813006,-0.03186472098473843,5
33,-0.16056922594790243,-0.03504892980931945,-0.0867588599918663,0.06852846103315607,4
34,-0.39367093895157457,-0.21988634591522635,0.013730910171950031,-0.0935546143608301,7
35,-0.2988898155629161,0.16344444729658048,-0.013774159928571252,-0.050793522685850856,7
36,-0.29948326455659074,-0.3433762649208251,0.011250726729602058,-0.13108844802708605,7
37,-0.19181129683039472,0.45391103980206593,0.040924797047122555,-0.05640856472616819,1
38,-0.2893235788779071,0.29149269812141915,0.008736190946467154,-0.02578308487230592,5
39,-0.42220349443339106,0.06273707505665743,0.011206104083186712,-0.05173772493494592,3
40,-0.29901222697197,-0.1982481407779648,-0.007081859529918246,-0.10115880785942707,7
41,-0.09538424861790414,0.6200194969058016,0.1258876575489677,-0.10497835547739373,5
42,-0.1984763190155422,0.23771652094672935,-0.01742270436760457,-0.07758880724907244,7
43,-0.3477039184377767,0.09708629461536494,0.006764432786200656,-0.06779007297246886,7
44,-0.35973373892782357,0.16230585787663243,-0.0006844470826216605,-0.020253370649882987,3
45,-0.46765335354448506,-0.2956830356739092,0.04574853222948816,-0.05633583865638229,5
46,-0.05425898440975315,0.5072542950770731,0.034394214523556364,-0.009636441967886293,5
47,0.08690388952622634,-0.3835461988646869,-0.09062113277424294,0.05447123737310564,6
48,-0.45847897256246056,-0.2988956446124052,0.03246826416134778,-0.04355277416815992,3
49,-0.1514431940321111,0.2777901928645199,0.0004832328124754986,0.08330063812798452,3
